model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,satisfiability_result
nested-2,,f10,old,16,300052,0.847563939,46.38731142,
nested-2,,f10,old,20,453932,1.029348576,101.3741262,
nested-3,,f1,old,4,138108,0.415085807,40.46373396,
nested-3,,f1,old,8,388972,1.391605788,834.1212632,
nested-3,,f1,old,12,767196,,timeout,
nested-3,,f1,old,16,1272780,,timeout,
nested-3,,f1,old,20,1905724,,timeout,
nested-3,,f2,old,4,85560,0.255708551,17.56035217,
nested-3,,f2,old,8,217296,0.762040083,48.77622392,
nested-3,,f2,old,12,409800,1.863728929,233.944301,
nested-3,,f2,old,16,663072,3.363465042,1921.995839,
nested-3,,f2,old,20,977112,4.166920637,2933.595868,
nested-3,,f3,old,4,81521,0.194461503,6.350536363,
nested-3,,f3,old,8,203761,,timeout,
nested-3,,f3,old,12,381265,,timeout,
nested-3,,f3,old,16,614033,,timeout,
nested-3,,f3,old,20,902065,,timeout,
nested-3,,f4,old,4,133639,0.324578233,33.49335951,
nested-3,,f4,old,8,373243,1.174588362,147.1202244,
nested-3,,f4,old,12,733423,3.488906045,306.2632249,
nested-3,,f4,old,16,1214179,4.456704601,839.7560495,
nested-3,,f4,old,20,1815511,8.725996795,1675.940398,
nested-3,,f5,old,4,81597,0.209009985,13.21902387,
nested-3,,f5,old,8,203801,0.614583931,81.38710529,
nested-3,,f5,old,12,381205,1.529594331,76.6613401,
nested-3,,f5,old,16,613809,2.268523598,1482.934701,
nested-3,,f5,old,20,901613,,timeout,
nested-3,,f6,old,4,168378,0.479812055,22.61990206,
nested-3,,f6,old,8,474790,1.973733939,228.5030704,
nested-3,,f6,old,12,936722,4.803990908,2499.908862,
nested-3,,f6,old,16,1554174,7.947715505,15048.02246,
nested-3,,f6,old,20,2327146,,timeout,
nested-3,,f7,old,4,149770,0.406642588,31.27804841,
nested-3,,f7,old,8,389438,1.802575292,189.2320571,
nested-3,,f7,old,12,741714,3.705246224,359.2046296,
nested-3,,f7,old,16,1206598,4.998376368,943.9236438,
nested-3,,f7,old,20,1784090,8.799009779,6014.165665,
nested-3,,f8,old,4,81619,0.230181999,8.207388456,
nested-3,,f8,old,8,203923,0.679720464,139.9610166,
nested-3,,f8,old,12,381491,1.763366143,169.2293331,
nested-3,,f8,old,16,614323,2.528717585,557.8150573,
nested-3,,f8,old,20,902419,4.621722903,1636.745784,
nested-3,,f9,old,4,105669,0.279144213,12.68442169,
nested-3,,f9,old,8,278733,1.079526359,123.5566444,
nested-3,,f9,old,12,534325,2.299370882,855.7164613,
nested-3,,f9,old,16,872445,4.04501156,1248.76704,
nested-3,,f9,old,20,1293093,6.419216762,2447.675976,
nested-3,,f10,old,4,196798,0.647056308,24.7492746,
nested-3,,f10,old,8,567838,2.449715688,208.567678,
nested-3,,f10,old,12,1131070,4.668411554,789.599708,
nested-3,,f10,old,16,,,timeout,
nested-3,,f10,old,20,,,timeout,
