model,dynamic,formula,alorithm,bound,encoding_size,encoding_time,smt_solving_time,model_checking_result
railroad,linear,f1,old,20,767493,0.072533129,76.93650259,counterexample found
railroad,linear,f1,old,25,1412553,0.303682593,138.7265481,counterexample found
railroad,linear,f1,old,30,2347013,0.328715114,182.5963546,counterexample found
railroad,linear,f1,old,35,3624873,0.511706376,260.569035,counterexample found
railroad,linear,f1,old,40,5300133,0.545441641,373.2036501,counterexample found
railroad,linear,f1,old,45,7426793,0.831496518,518.5342858,counterexample found
railroad,linear,f1,old,50,10058853,1.099256676,641.0451793,counterexample found
railroad,linear,f2,old,5,28703,0.005588152,1.659780156,no counterexample
railroad,linear,f2,old,10,129553,0.013932663,10.81953936,no counterexample
railroad,linear,f2,old,15,357803,0.098220083,22.81291914,no counterexample
railroad,linear,f2,old,20,767453,0.088770895,79.09734209,no counterexample
railroad,linear,f2,old,25,1412503,0.515745672,110.1107916,no counterexample
railroad,linear,f2,old,35,2346953,0.609542354,171.8524074,no counterexample
railroad,linear,f2,old,30,3624803,0.500803042,265.4196916,no counterexample
railroad,linear,f2,old,40,5300053,0.57069775,379.2745686,no counterexample
railroad,linear,f2,old,45,7426703,1.435004822,489.0745321,no counterexample
railroad,linear,f2,old,50,10058753,1.069330339,662.3002957,no counterexample
railroad,linear,f3,old,5,683628,0.045471627,53.57368006,counterexample found
railroad,linear,f3,old,10,3455598,0.576590405,398.7849391,counterexample found
railroad,linear,f3,old,15,9843368,0.607488042,1127.28312,counterexample found
railroad,linear,f3,old,20,21358938,3.715533926,2394.374019,counterexample found
railroad,linear,f3,old,25,39514308,3.288813762,3229.19613,counterexample found
railroad,linear,f3,old,30,65821478,8.175924904,5293.311038,counterexample found
railroad,linear,f3,old,35,101792448,10.7724449,8162.493701,counterexample found
railroad,linear,f4,old,5,683016,0.047140952,87.51156037,counterexample found
railroad,linear,f4,old,10,3454506,0.757791599,425.8657822,counterexample found
railroad,linear,f4,old,15,9841796,1.469224885,1375.04668,counterexample found
railroad,linear,f4,old,20,21356886,2.218250603,2887.792702,counterexample found
railroad,linear,f4,old,25,39511776,3.574783348,4308.547794,counterexample found
railroad,linear,f4,old,30,65818466,5.911530276,8294.848444,counterexample found
car,linear,f1,old,5,322170,0.029967763,26.71801007,counterexample found
car,linear,f1,old,10,1390200,0.284663405,238.5318478,counterexample found
car,linear,f1,old,15,3705630,0.571977374,610.137161,counterexample found
car,linear,f1,old,20,7754460,1.223728888,13317.36846,counterexample found
car,linear,f1,old,25,14022690,1.803587676,9925.888713,counterexample found
car,linear,f2,old,5,35089,0.006498482,2.807767002,no counterexample
car,linear,f2,old,10,141749,0.063263015,20.87485887,no counterexample
car,linear,f2,old,15,375809,0.026879144,29.88287459,no counterexample
car,linear,f2,old,20,791269,0.100375033,63.06895154,no counterexample
car,linear,f2,old,25,1442129,0.388357222,123.0116442,no counterexample
car,linear,f2,old,30,2382389,0.650508288,205.617858,no counterexample
car,linear,f2,old,35,3666049,0.766550171,282.8851913,no counterexample
car,linear,f2,old,40,5347109,1.129264587,339.9260004,no counterexample
car,linear,f2,old,45,7479569,0.672296432,463.4773353,no counterexample
car,linear,f2,old,50,10117429,1.630627475,617.5810077,no counterexample
car,linear,f3,old,5,35987,0.006439567,2.858664248,counterexample found
car,linear,f3,old,10,143397,0.063422115,15.00995678,counterexample found
car,linear,f3,old,15,378207,0.074844651,32.11482571,counterexample found
car,linear,f3,old,20,794417,0.10008931,79.27549931,counterexample found
car,linear,f3,old,25,1446027,0.11727221,126.4197366,counterexample found
car,linear,f3,old,30,2387037,0.431834005,181.4960751,counterexample found
car,linear,f3,old,35,3671447,0.483109196,278.2850085,counterexample found
car,linear,f3,old,40,5353257,0.766951782,372.1306956,counterexample found
car,linear,f3,old,45,7486467,0.799263285,486.9991805,counterexample found
car,linear,f3,old,50,10125077,1.118170122,679.4859536,counterexample found
car,linear,f4,old,5,691586,0.070831907,41.49630754,no counterexample
car,linear,f4,old,10,3470706,0.34845694,211.1925625,no counterexample
car,linear,f4,old,15,9865626,0.626808796,638.610556,no counterexample
car,linear,f4,old,20,21388346,1.375597379,1563.486491,no counterexample
car,linear,f4,old,25,39550866,1.791924363,2946.252448,no counterexample
car,linear,f4,old,30,65865186,3.0031094,5777.428267,no counterexample
car,linear,f4,old,35,101843306,3.421775918,10033.87473,no counterexample
water,linear,f1,old,5,31785,0.023438711,3.932841745,counterexample found
water,linear,f1,old,10,136300,0.033781053,13.39266723,counterexample found
water,linear,f1,old,15,369115,0.031541693,88.20177661,counterexample found
water,linear,f1,old,20,784230,0.11226006,428.2893053,counterexample found
water,linear,f1,old,25,1435645,0.286791538,380.9679407,counterexample found
water,linear,f1,old,30,2377360,0.509553664,2384.469208,counterexample found
water,linear,f1,old,35,3663375,0.598255496,2351.8056,counterexample found
water,linear,f1,old,40,5347690,0.859614952,5045.958395,counterexample found
water,linear,f1,old,45,7484305,1.184605739,1880.38589,counterexample found
water,linear,f2,old,5,31079,0.005516078,1.835447473,no counterexample
water,linear,f2,old,10,133999,0.030049947,7.824579244,no counterexample
water,linear,f2,old,15,364319,0.041001577,21.35625206,no counterexample
water,linear,f2,old,20,776039,0.065043983,45.52561532,no counterexample
water,linear,f2,old,25,1423159,0.085557885,83.57507975,no counterexample
water,linear,f2,old,30,2359679,0.156084857,138.6361794,no counterexample
water,linear,f2,old,35,3639599,0.220387579,214.2841851,no counterexample
water,linear,f2,old,40,5316919,0.303977153,318.5706381,no counterexample
water,linear,f2,old,45,7445639,0.53450218,452.1967148,no counterexample
water,linear,f3,old,5,317168,0.060957627,38.52679531,counterexample found
water,linear,f3,old,10,1381078,0.136450763,248.7752411,counterexample found
water,linear,f3,old,15,3692788,0.573279324,863.2813977,counterexample found
water,linear,f3,old,20,7738298,1.904870753,6075.174868,counterexample found
water,linear,f4,old,5,322479,0.037176888,25.83999068,no counterexample
water,linear,f4,old,10,1398719,0.172830572,151.4066999,no counterexample
water,linear,f4,old,15,3729859,0.409288417,300.6564177,no counterexample
water,linear,f4,old,20,7801899,4.567850368,1007.680066,no counterexample
water,linear,f4,old,25,14100839,2.510801168,1902.133949,no counterexample
water,linear,f4,old,30,23112679,8.995264126,3047.624676,no counterexample
water,linear,f4,old,35,35323419,13.52830207,3630.168764,no counterexample
water,linear,f4,old,40,51219059,7.338070685,35120.80507,no counterexample
water,linear,f4,old,45,71285599,15.42757045,8082.16923,no counterexample
thermo,linear,f1,old,5,31075,0.006105655,2.705704461,counterexample found
thermo,linear,f1,old,10,134115,0.014158427,16.14626219,counterexample found
thermo,linear,f1,old,15,364555,0.026197724,40.12909096,counterexample found
thermo,linear,f1,old,20,776395,0.231208478,76.9161427,counterexample found
thermo,linear,f1,old,25,1423635,0.338790196,148.1268588,counterexample found
thermo,linear,f1,old,30,2360275,0.319114666,186.9084361,counterexample found
thermo,linear,f1,old,35,3640315,0.545672402,328.0940004,counterexample found
thermo,linear,f1,old,40,5317755,0.833762262,405.4960208,counterexample found
thermo,linear,f1,old,45,7446595,0.857835528,520.264221,counterexample found
thermo,linear,f1,old,50,10080835,1.226405924,693.5725299,counterexample found
thermo,linear,f2,old,5,31449,0.006212896,2.875493305,no counterexample
thermo,linear,f2,old,10,134799,0.014251816,15.79143731,no counterexample
thermo,linear,f2,old,15,365549,0.066659695,44.91316546,no counterexample
thermo,linear,f2,old,20,777699,0.203364614,98.68807481,no counterexample
thermo,linear,f2,old,25,1425249,0.254561676,173.1959627,no counterexample
thermo,linear,f2,old,30,2362199,0.312659215,223.5314185,no counterexample
thermo,linear,f2,old,35,3642549,0.509862714,341.1788381,no counterexample
thermo,linear,f2,old,40,5320299,0.782224056,465.0764714,no counterexample
thermo,linear,f2,old,45,7449449,0.8416593,749.8869498,no counterexample
thermo,linear,f2,old,50,10083999,1.109380323,874.235624,no counterexample
thermo,linear,f3,old,5,323044,0.036853468,36.98806174,counterexample found
thermo,linear,f3,old,10,1400099,0.163896371,180.036804,counterexample found
thermo,linear,f3,old,15,3732254,0.415222496,633.1477165,counterexample found
thermo,linear,f3,old,20,7805509,2.276136905,1478.478667,counterexample found
